character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
果,jōyō,fruit,か,"くだ, は.たして",4,N3,17
葉,jōyō,"leaf, leaves",,"は, ば",3,N3,10
海,jōyō,"sea, ocean",かい,うみ,2,N4,6
由,jōyō,reason,ゆう,,3,N3,7
曜,jōyō,"weekday, day of the week",よう,,2,N4,16
員,jōyō,member,いん,,3,N4,12
選,jōyō,choose,せん,えら.ぶ,4,N3,13
毎,jōyō,every,まい,,2,N5,5
予,jōyō,beforehand,よ,あらかじ,3,N3,9
止,jōyō,stop,し,"と.まる, や.む",2,N4,3
席,jōyō,seat,せき,,4,N3,17
主,jōyō,master,しゅ,"おも, ぬし",3,N4,4
調,jōyō,"investigate, tone",ちょう,しら.べる,3,N3,10
落,jōyō,fall,らく,"お.ちる, お.とす",3,N3,10
他,jōyō,other,た,ほか,3,N3,4
寝,jōyō,"lie down, lay down, sleep",しん,ね,9,N3,22
非,jōyō,"injustice, negative",ひ,,5,N3,17
両,jōyō,both,りょう,,3,N3,6
京,jōyō,capital,きょう,,2,N4,6
政,jōyō,"politics, government",せい,,5,N3,16
続,jōyō,continue,ぞく,つづ.く,4,N3,19
初,jōyō,first,しょ,"はじ.*, はつ",4,N3,11
山,jōyō,mountain,さん,やま,1,N5,1
告,jōyō,announce,こく,つ.げる,4,N3,18
戦,jōyō,"war, battle",せん,たたか.*,4,N3,11
走,jōyō,run,そう,はし.る,2,N4,5
返,jōyō,return,へん,"かえ.る, かえ.す",3,N3,9
警,jōyō,"warn, admonish",けい,,6,N3,17
平,jōyō,"flat, peace",へい,"たいら, ひら",3,N3,4
木,jōyō,"tree, wood",もく,き,1,N5,2
確,jōyō,certain,かく,たし.か,5,N3,20
界,jōyō,world,かい,,3,N4,9
別,jōyō,separate,べつ,わか.*,4,N4,11
野,jōyō,field,や,の,2,N4,12
品,jōyō,"product, article, goods, products",ひん,しな,3,N4,16
情,jōyō,"feeling, emotion",じょう,なさけ,5,N3,13
十,jōyō,ten,じゅう,とお.*,1,N5,1
相,jōyō,mutual,"そう, しょう",あい,3,N3,9
駅,jōyō,"station, train station",えき,えき,3,N4,13
案,jōyō,plan,あん,,4,N1,22
残,jōyō,remainder,ざん,のこ.*,4,N3,14
忘,jōyō,forget,ぼう,わす.れる,6,N3,18
頭,jōyō,head,"ず, とう",あたま,2,N3,10
求,jōyō,request,きゅう,もと.める,4,N3,14
価,jōyō,value,か,あたい,5,N1,22
期,jōyō,"period of time, time period",き,,3,N3,12
進,jōyō,advance,しん,すす.む,3,N3,10
健,jōyō,healthy,けん,,4,N1,27
在,jōyō,exist,ざい,,5,N3,20
白,jōyō,white,はく,しろ,1,N5,2
内,jōyō,"inside, within",ない,うち,2,N3,3
列,jōyō,row,"れつ, れ",,3,N3,15
店,jōyō,"shop, store",てん,みせ,2,N4,6
値,jōyō,value,ち,"ね, あたい",6,N3,22
